Code,Age_single_years,src,trgt
0,Less than one year,58665,58158
1,One year,58356,58020
2,Two years,59013,58719
3,Three years,60279,59970
4,Four years,60348,60054
5,Five years,64437,64164
6,Six years,63732,63531
7,Seven years,65238,65085
8,Eight years,65448,65289
9,Nine years,64707,64563
10,10 years,65112,64962
11,11 years,62328,62151
12,12 years,60033,59865
13,13 years,59910,59679
14,14 years,59490,59190
15,15 years,59301,58398
16,16 years,61026,60108
17,17 years,63042,62334
18,18 years,62553,60933
19,19 years,62385,60048
20,20 years,64095,61956
21,21 years,64227,62382
22,22 years,65535,63699
23,23 years,66156,64197
24,24 years,67185,65166
25,25 years,70461,68325
26,26 years,71667,69627
27,27 years,72915,70848
28,28 years,70482,68418
29,29 years,69237,67248
30,30 years,68766,66876
31,31 years,65466,63813
32,32 years,64278,62847
33,33 years,63147,61896
34,34 years,62793,61602
35,35 years,62469,61359
36,36 years,60525,59571
37,37 years,59931,59037
38,38 years,59376,58557
39,39 years,57618,56871
40,40 years,57258,56517
41,41 years,57450,56760
42,42 years,57654,57006
43,43 years,60522,59844
44,44 years,61845,61218
45,45 years,64617,63939
46,46 years,65961,65271
47,47 years,65571,64956
48,48 years,64611,63942
49,49 years,64152,63375
50,50 years,62865,62034
51,51 years,61488,60645
52,52 years,61632,60669
53,53 years,62859,61833
54,54 years,64614,63408
55,55 years,65211,63894
56,56 years,63741,62463
57,57 years,62124,60735
58,58 years,60228,58629
59,59 years,58686,57030
60,60 years,57519,55539
61,61 years,55533,53571
62,62 years,54276,52215
63,63 years,52815,50673
64,64 years,51030,48903
65,65 years,50547,48318
66,66 years,48534,46455
67,67 years,47637,45678
68,68 years,46815,44778
69,69 years,45621,43803
70,70 years,45714,43809
71,71 years,43209,41526
72,72 years,37005,35760
73,73 years,33675,32496
74,74 years,31050,30045
75,75 years,29253,28332
76,76 years,30186,29481
77,77 years,28488,27885
78,78 years,25011,24519
79,79 years,23043,22575
80,80 years,20700,20325
81,81 years,18798,18507
82,82 years,16767,16500
83,83 years,16047,15837
84,84 years,14349,14193
85,85 years,13062,12939
86,86 years,12102,12003
87,87 years,11334,11238
88,88 years,9675,9618
89,89 years,8223,8181
90,90 years,6858,6828
91,91 years,5772,5745
92,92 years,4734,4710
93,93 years,3705,3693
94,94 years,2856,2841
95,95 years,2088,2079
96,96 years,1587,1587
97,97 years,1119,1110
98,98 years,720,708
99,99 years,432,426
100,100 years,246,246
101,101 years,168,168
102,102 years,102,102
103,103 years,57,57
104,104 years,33,33
105,105 years,18,18
106,106 years,12,12
107,107 years,3,3
108,108 years,3,3
109,109 years,3,3
110,110 years,0,0
111,111 years,0,0
112,112 years,0,0
113,113 years,0,0
114,114 years,0,0
115,115 years,0,0
116,116 years,0,0
117,117 years,0,0
118,118 years,0,0
119,119 years,0,0
120,120 years and over,0,0
Total,Total,4793358,4699755
